Número,Año
0,Nunca se ha llevado El Gordo
1,Nunca se ha llevado El Gordo
2,Nunca se ha llevado El Gordo
3,Nunca se ha llevado El Gordo
4,Nunca se ha llevado El Gordo
5,Nunca se ha llevado El Gordo
6,Nunca se ha llevado El Gordo
7,Nunca se ha llevado El Gordo
8,Nunca se ha llevado El Gordo
9,Nunca se ha llevado El Gordo
10,Nunca se ha llevado El Gordo
11,Nunca se ha llevado El Gordo
12,Nunca se ha llevado El Gordo
13,Nunca se ha llevado El Gordo
14,Nunca se ha llevado El Gordo
15,Nunca se ha llevado El Gordo
16,Nunca se ha llevado El Gordo
17,Nunca se ha llevado El Gordo
18,Nunca se ha llevado El Gordo
19,Nunca se ha llevado El Gordo
20,Nunca se ha llevado El Gordo
21,Nunca se ha llevado El Gordo
22,Nunca se ha llevado El Gordo
23,Nunca se ha llevado El Gordo
24,Nunca se ha llevado El Gordo
25,Nunca se ha llevado El Gordo
26,Nunca se ha llevado El Gordo
27,Nunca se ha llevado El Gordo
28,Nunca se ha llevado El Gordo
29,Nunca se ha llevado El Gordo
30,Nunca se ha llevado El Gordo
31,Nunca se ha llevado El Gordo
32,Nunca se ha llevado El Gordo
33,Nunca se ha llevado El Gordo
34,Nunca se ha llevado El Gordo
35,Nunca se ha llevado El Gordo
36,Nunca se ha llevado El Gordo
37,Nunca se ha llevado El Gordo
38,Nunca se ha llevado El Gordo
39,Nunca se ha llevado El Gordo
40,Nunca se ha llevado El Gordo
41,Nunca se ha llevado El Gordo
42,Nunca se ha llevado El Gordo
43,Nunca se ha llevado El Gordo
44,Nunca se ha llevado El Gordo
45,Nunca se ha llevado El Gordo
46,Nunca se ha llevado El Gordo
47,Nunca se ha llevado El Gordo
48,Nunca se ha llevado El Gordo
49,Nunca se ha llevado El Gordo
50,Nunca se ha llevado El Gordo
51,Nunca se ha llevado El Gordo
52,Nunca se ha llevado El Gordo
53,Nunca se ha llevado El Gordo
54,Nunca se ha llevado El Gordo
55,Nunca se ha llevado El Gordo
56,Nunca se ha llevado El Gordo
57,Nunca se ha llevado El Gordo
58,Nunca se ha llevado El Gordo
59,Nunca se ha llevado El Gordo
60,Nunca se ha llevado El Gordo
61,Nunca se ha llevado El Gordo
62,Nunca se ha llevado El Gordo
63,Nunca se ha llevado El Gordo
64,Nunca se ha llevado El Gordo
65,Nunca se ha llevado El Gordo
66,Nunca se ha llevado El Gordo
67,Nunca se ha llevado El Gordo
68,Nunca se ha llevado El Gordo
69,Nunca se ha llevado El Gordo
70,Nunca se ha llevado El Gordo
71,Nunca se ha llevado El Gordo
72,Nunca se ha llevado El Gordo
73,Nunca se ha llevado El Gordo
74,Nunca se ha llevado El Gordo
75,Nunca se ha llevado El Gordo
76,Nunca se ha llevado El Gordo
77,Nunca se ha llevado El Gordo
78,Nunca se ha llevado El Gordo
79,Nunca se ha llevado El Gordo
80,Nunca se ha llevado El Gordo
81,Nunca se ha llevado El Gordo
82,Nunca se ha llevado El Gordo
83,Nunca se ha llevado El Gordo
84,Nunca se ha llevado El Gordo
85,Nunca se ha llevado El Gordo
86,Nunca se ha llevado El Gordo
87,Nunca se ha llevado El Gordo
88,Nunca se ha llevado El Gordo
89,Nunca se ha llevado El Gordo
90,Nunca se ha llevado El Gordo
91,Nunca se ha llevado El Gordo
92,Nunca se ha llevado El Gordo
93,Nunca se ha llevado El Gordo
94,Nunca se ha llevado El Gordo
95,Nunca se ha llevado El Gordo
96,Nunca se ha llevado El Gordo
97,Nunca se ha llevado El Gordo
98,Nunca se ha llevado El Gordo
99,Nunca se ha llevado El Gordo
100,Nunca se ha llevado El Gordo
101,Nunca se ha llevado El Gordo
102,Nunca se ha llevado El Gordo
103,Nunca se ha llevado El Gordo
104,Nunca se ha llevado El Gordo
105,Nunca se ha llevado El Gordo
106,Nunca se ha llevado El Gordo
107,Nunca se ha llevado El Gordo
108,Nunca se ha llevado El Gordo
109,Nunca se ha llevado El Gordo
110,Nunca se ha llevado El Gordo
111,Nunca se ha llevado El Gordo
112,Nunca se ha llevado El Gordo
113,Nunca se ha llevado El Gordo
114,Nunca se ha llevado El Gordo
115,Nunca se ha llevado El Gordo
116,Nunca se ha llevado El Gordo
117,Nunca se ha llevado El Gordo
118,Nunca se ha llevado El Gordo
119,Nunca se ha llevado El Gordo
120,Nunca se ha llevado El Gordo
121,Nunca se ha llevado El Gordo
122,Nunca se ha llevado El Gordo
123,Nunca se ha llevado El Gordo
124,Nunca se ha llevado El Gordo
125,Nunca se ha llevado El Gordo
126,Nunca se ha llevado El Gordo
